Device,DeviceDatetime,ActualHumidity,ActualTemp,Controller,DeviceTimestamp,DeviceType,Division
00246B00064D,2025-02-26 00:33:32+09:00,39.54,13.39,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:33:34+09:00,33.52,20.32,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:33:35+09:00,34.12,18.41,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:33:37+09:00,33.25,18.19,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:33:40+09:00,43.53,13.59,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:33:40+09:00,43.51,14.23,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:36:03+09:00,33.91796875,18.75,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:36:07+09:00,37.31640625,17.37890625,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:36:31+09:00,45.44,14.27,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:36:31+09:00,43.02,14.4,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:36:32+09:00,39.6,13.37,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:36:33+09:00,33.56,20.27,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:36:35+09:00,33.92,18.37,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:36:37+09:00,33.27,18.18,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:36:39+09:00,43.51,13.59,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:36:40+09:00,43.54,14.22,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:39:03+09:00,33.96875,18.73828125,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:39:31+09:00,45.52,14.32,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:39:31+09:00,42.98,14.38,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:39:32+09:00,39.56,13.37,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:39:34+09:00,33.44,20.27,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:39:35+09:00,34.18,18.38,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:39:37+09:00,33.41,18.19,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:39:40+09:00,43.54,13.58,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:39:40+09:00,43.55,14.2,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:42:04+09:00,33.9765625,18.73828125,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:42:07+09:00,37.359375,17.3671875,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:42:31+09:00,45.43,14.29,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:42:31+09:00,42.99,14.36,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:42:32+09:00,39.58,13.41,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:42:34+09:00,33.46,20.25,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:42:35+09:00,33.96,18.36,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:42:37+09:00,33.19,18.16,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:42:40+09:00,43.54,13.58,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:42:40+09:00,43.67,14.19,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:45:03+09:00,34.01953125,18.7578125,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:45:31+09:00,45.46,14.3,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:45:31+09:00,42.92,14.3,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:45:32+09:00,39.63,13.41,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:45:34+09:00,33.53,20.22,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:45:35+09:00,34.05,18.35,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:45:36+09:00,33.22,18.18,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:45:40+09:00,43.53,13.52,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:45:40+09:00,43.56,14.19,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:48:04+09:00,34.02734375,18.70703125,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:48:07+09:00,37.4375,17.33984375,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:48:31+09:00,45.45,14.27,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:48:31+09:00,42.95,14.35,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:48:32+09:00,39.6,13.36,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:48:34+09:00,33.59,20.2,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:48:35+09:00,33.93,18.37,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:48:37+09:00,33.36,18.15,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:48:40+09:00,43.62,13.54,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:48:40+09:00,43.51,14.16,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:51:04+09:00,34.0390625,18.70703125,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:51:08+09:00,37.44921875,17.33984375,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:51:31+09:00,45.46,14.27,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:51:31+09:00,43.02,14.33,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:51:32+09:00,39.54,13.35,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:51:33+09:00,33.56,20.16,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:51:35+09:00,34,18.37,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:51:36+09:00,33.21,18.15,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:51:40+09:00,43.61,13.54,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:51:40+09:00,43.52,14.17,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:54:02+09:00,34.046875,18.69921875,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:54:08+09:00,37.46875,17.33984375,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:54:31+09:00,45.46,14.25,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:54:31+09:00,43.05,14.32,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:54:32+09:00,39.6,13.38,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:54:34+09:00,33.44,20.13,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:54:35+09:00,34.06,18.31,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:54:36+09:00,33.26,18.15,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:54:40+09:00,43.56,13.56,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:54:40+09:00,43.55,14.16,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:57:02+09:00,34.078125,18.69921875,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:57:08+09:00,37.5078125,17.328125,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:57:31+09:00,45.5,14.28,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:57:31+09:00,43.08,14.33,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:57:32+09:00,39.53,13.34,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:57:34+09:00,33.62,20.11,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:57:35+09:00,34,18.32,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:57:36+09:00,33.32,18.14,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:57:40+09:00,43.52,13.53,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:57:40+09:00,43.52,14.16,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 01:00:02+09:00,34.08984375,18.6875,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 01:00:08+09:00,37.5390625,17.359375,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 01:00:31+09:00,45.46,14.28,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 01:00:31+09:00,42.93,14.32,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 01:00:32+09:00,39.55,13.35,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 01:00:33+09:00,33.55,20.04,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 01:00:35+09:00,34.15,18.33,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 01:00:37+09:00,33.39,18.13,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 01:00:40+09:00,43.52,13.5,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 01:00:40+09:00,43.63,14.14,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 01:03:02+09:00,34.09765625,18.6796875,Mutsu01,1.7405E+12,Temp,MUTS-Dining
